Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jehu Rudeforth,UK,Mint Chip Choco,4-Jan-22,7,1
Van Tuxwell,India,85% Dark Bars,1-Aug-22,7,2
Gigi Bohling,India,Peanut Butter Cubes,7-Jul-22,28,2
Jan Morforth,Australia,Peanut Butter Cubes,27-Apr-22,49,2
Jehu Rudeforth,UK,Peanut Butter Cubes,24-Feb-22,49,3
Van Tuxwell,India,Smooth Sliky Salty,6-Jun-22,63,3
Oby Sorrel,UK,99% Dark & Pure,25-Jan-22,63,3
Gunar Cockshoot,Australia,After Nines,24-Mar-22,63,4
Jehu Rudeforth,New Zealand,50% Dark Bites,20-Apr-22,70,4
Brien Boise,Australia,99% Dark & Pure,4-Jul-22,70,4
Rafaelita Blaksland,UK,Smooth Sliky Salty,13-Jan-22,77,4
Barr Faughny,USA,Orange Choco,10-Mar-22,84,5
Mallorie Waber,Canada,Eclairs,13-Jan-22,91,5
Karlen McCaffrey,New Zealand,Drinking Coco,28-Jul-22,105,5
Marney O'Breen,New Zealand,Peanut Butter Cubes,3-Aug-22,112,6
Beverie Moffet,Australia,Organic Choco Syrup,26-Jan-22,112,6
Van Tuxwell,Canada,Organic Choco Syrup,14-Feb-22,126,6
Roddy Speechley,USA,Smooth Sliky Salty,5-Apr-22,147,6
Beverie Moffet,Canada,Milk Bars,16-Feb-22,161,7
Curtice Advani,UK,85% Dark Bars,8-Jun-22,161,7
Brien Boise,Australia,Eclairs,27-Jun-22,168,7
Gunar Cockshoot,USA,Spicy Special Slims,17-Feb-22,168,7
Marney O'Breen,USA,After Nines,30-May-22,203,7
Husein Augar,UK,Drinking Coco,14-Mar-22,210,7
Kaine Padly,Australia,Eclairs,28-Feb-22,238,8
Karlen McCaffrey,India,Fruit & Nut Bars,26-Jan-22,252,8
Roddy Speechley,Canada,Spicy Special Slims,9-Feb-22,252,9
Husein Augar,USA,Eclairs,7-Jul-22,273,9
Dennison Crosswaite,New Zealand,White Choc,5-Jul-22,273,9
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15-Jun-22,273,9
Van Tuxwell,New Zealand,85% Dark Bars,24-May-22,280,10
Rafaelita Blaksland,UK,99% Dark & Pure,29-Jun-22,280,10
Wilone O'Kielt,Australia,Manuka Honey Choco,11-May-22,301,10
Karlen McCaffrey,UK,Almond Choco,30-Jun-22,301,11
Andria Kimpton,Canada,After Nines,11-May-22,301,11
Roddy Speechley,USA,Manuka Honey Choco,22-Jul-22,308,11
Andria Kimpton,UK,50% Dark Bites,24-Aug-22,329,11
Kelci Walkden,New Zealand,After Nines,7-Jul-22,364,11
Camilla Castle,Australia,85% Dark Bars,19-May-22,371,11
Karlen McCaffrey,India,Manuka Honey Choco,4-Jul-22,378,12
Kelci Walkden,USA,After Nines,2-Jun-22,385,12
Karlen McCaffrey,USA,Raspberry Choco,15-Apr-22,392,12
Mallorie Waber,Canada,Choco Coated Almonds,11-Jul-22,392,12
Andria Kimpton,India,Spicy Special Slims,23-Feb-22,420,12
Madelene Upcott,Canada,Almond Choco,22-Aug-22,441,12
Kaine Padly,USA,Peanut Butter Cubes,16-Feb-22,448,12
Van Tuxwell,USA,50% Dark Bites,13-Jan-22,455,13
Curtice Advani,Australia,Milk Bars,14-Feb-22,455,13
Roddy Speechley,India,Eclairs,10-Jun-22,455,14
Curtice Advani,India,Fruit & Nut Bars,7-Jul-22,469,14
Curtice Advani,Canada,Almond Choco,24-Mar-22,476,14
Brien Boise,Australia,Fruit & Nut Bars,6-Jun-22,476,14
Dotty Strutley,Australia,Drinking Coco,19-Jul-22,483,15
Beverie Moffet,USA,Raspberry Choco,19-Apr-22,483,15
Marney O'Breen,India,85% Dark Bars,19-Jul-22,483,15
Jehu Rudeforth,Canada,Drinking Coco,15-Jul-22,490,16
Ches Bonnell,New Zealand,Spicy Special Slims,14-Feb-22,497,16
Brien Boise,Canada,99% Dark & Pure,18-May-22,504,16
Barr Faughny,Australia,Fruit & Nut Bars,30-Jun-22,504,18
Andria Kimpton,Australia,50% Dark Bites,2-Jun-22,546,18
Andria Kimpton,Australia,Drinking Coco,28-Jun-22,574,18
Marney O'Breen,Australia,Organic Choco Syrup,16-May-22,574,18
Kelci Walkden,Canada,Baker's Choco Chips,26-May-22,581,18
Karlen McCaffrey,India,Almond Choco,6-Jul-22,588,18
Oby Sorrel,India,99% Dark & Pure,27-May-22,602,18
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14-Apr-22,609,19
Van Tuxwell,Australia,Organic Choco Syrup,10-Aug-22,623,20
Camilla Castle,India,50% Dark Bites,4-Jul-22,630,20
Oby Sorrel,India,Organic Choco Syrup,8-Jul-22,630,21
Jan Morforth,USA,Peanut Butter Cubes,22-Jul-22,637,21
Gigi Bohling,USA,Choco Coated Almonds,2-Mar-22,637,21
Gigi Bohling,UK,Almond Choco,10-Jan-22,644,21
Jehu Rudeforth,New Zealand,White Choc,11-Mar-22,651,21
Andria Kimpton,New Zealand,Peanut Butter Cubes,20-Jun-22,658,21
Van Tuxwell,UK,Organic Choco Syrup,26-Aug-22,658,22
Roddy Speechley,Canada,Milk Bars,13-Jul-22,672,22
Camilla Castle,USA,Spicy Special Slims,11-Feb-22,679,22
Marney O'Breen,USA,Orange Choco,27-Jan-22,679,22
Van Tuxwell,UK,99% Dark & Pure,31-Jan-22,693,22
Camilla Castle,USA,White Choc,18-Aug-22,700,22
Andria Kimpton,USA,Raspberry Choco,30-Jun-22,700,22
Dotty Strutley,Australia,Fruit & Nut Bars,23-Aug-22,721,22
Brien Boise,New Zealand,Mint Chip Choco,1-Aug-22,721,23
Roddy Speechley,New Zealand,After Nines,25-May-22,721,23
Roddy Speechley,Canada,Organic Choco Syrup,10-Jan-22,735,23
